phantom,TR,TE,CNR_WM_GM,noise_std_est,J
0,800,95,0.8398002936514821,0.01992887198910347,-0.1841997063485179
0,800,100,0.8476347201802539,0.01999708982800809,-0.17636527981974615
0,800,105,0.8926010303125509,0.01995207940266734,-0.13139896968744913
0,800,110,0.8909181802218342,0.01987129454666399,-0.1330818197781658
0,800,115,0.9137425977016223,0.02007969962462291,-0.11025740229837777
0,800,120,0.9187785051538208,0.020005330179701797,-0.10522149484617926
0,800,125,0.9302943827809191,0.020076157464858156,-0.09370561721908088
0,800,130,0.9312231715834755,0.020031790038196523,-0.09277682841652457
0,800,135,0.9434141094668815,0.019843668010216486,-0.08058589053311849
0,800,140,0.9238281225084335,0.019974159536879626,-0.10017187749156653
0,800,145,0.9123842160802242,0.020045868947328672,-0.11161578391977578
0,800,150,0.9176020142145614,0.019973181654231467,-0.10639798578543858
0,800,155,0.9158371348295294,0.01994388852941053,-0.10816286517047058
0,800,160,0.8665538208053519,0.019964340475503734,-0.1574461791946481
0,800,165,0.8728745535897776,0.019998024024471414,-0.1511254464102224
0,800,170,0.8755086020454181,0.02017672789990719,-0.14849139795458188
0,800,175,0.8454684386686054,0.02008192032629434,-0.17853156133139458
0,800,180,0.8272172762519912,0.020091256109601736,-0.19678272374800887
0,800,185,0.8303124167553791,0.01998930640172218,-0.19368758324462088
0,800,190,0.8035061655024733,0.02002165457080179,-0.2204938344975267
0,800,195,0.7802017739735638,0.02001989718131738,-0.2437982260264362
0,800,200,0.7721772494966769,0.020000584552034153,-0.25182275050332315
0,900,10,1.2936801726817457,0.02011091206309049,0.1416801726817456
0,900,15,0.9954927199941157,0.02006632601192716,-0.15650728000588443
0,900,20,0.7474208204451978,0.020053415709066637,-0.4045791795548024
0,900,25,0.506301554018466,0.019946242467055283,-0.6456984459815341
0,900,30,0.287604215756195,0.020152381680770805,-0.8643957842438051
0,900,35,0.10339632501161854,0.019977434782005938,-1.0486036749883816
0,900,40,0.05294119482783142,0.019977303578532033,-1.0990588051721688
0,900,45,0.21404258817277494,0.019953995574063334,-0.9379574118272251
0,900,50,0.39244977394411956,0.01999451508897224,-0.7595502260558806
0,900,55,0.4712276955397694,0.02000785422566114,-0.6807723044602307
0,900,60,0.5831302803499574,0.019958528224856543,-0.5688697196500427
0,900,65,0.6478935605513328,0.020110095853200848,-0.5041064394486673
0,900,70,0.7504711381882493,0.019997780301849937,-0.40152886181175085
0,900,75,0.8180895171513185,0.020091886303444613,-0.33391048284868163
0,900,80,0.8725062686081261,0.020093280183346676,-0.27949373139187406
0,900,85,0.9361125701580192,0.020028393210904712,-0.21588742984198095
0,900,90,0.9401008075378996,0.02021861960488643,-0.21189919246210054
0,900,95,0.9911967450490641,0.019901627283644845,-0.16080325495093606
0,900,100,1.0282122583697415,0.020136805244100487,-0.12378774163025863
0,900,105,1.047029371745498,0.020060754529927418,-0.10497062825450221
0,900,110,1.0742915031847398,0.0199483561940052,-0.07770849681526038
0,900,115,1.0305888391402092,0.01998086638685888,-0.12141116085979098
0,900,120,1.0664181826091261,0.020054281633334822,-0.085581817390874
0,900,125,1.093935967701067,0.019991938563873362,-0.0580640322989332
0,900,130,1.0628856125382664,0.020112970364035906,-0.08911438746173372
0,900,135,1.0701898733482853,0.019915792829845597,-0.08181012665171483
0,900,140,1.083230112258336,0.019830434698947123,-0.06876988774166404
