TR,TE,CNR_WM_GM,CNR_GM_CSF,CNR_WM_CSF
1000,10,0.7173199786321277,9.658553319362909,10.375873297995037
1000,15,0.4294650342085343,8.679579526957015,9.109044561165549
1000,20,0.17094293332375332,7.749622341646414,7.920565274970167
1000,25,0.06060351982973833,6.866288020534541,6.805684500704803
1000,30,0.2673604184290773,6.0272995728704934,5.759939154441416
1000,35,0.4513544991959606,5.230491065959883,4.779136566763922
1000,40,0.6144641096233805,4.473802208779764,3.859338099156384
1000,45,0.7584294467297831,3.7552731997538364,2.996843753024053
1000,50,0.8848621145977981,3.0730398258046465,2.1881777112068486
1000,55,0.9952540449396987,2.4253288004279088,1.43007475548821
1000,60,1.0909858221060054,1.8104533291316365,0.7194675070256312
1000,65,1.173334451307012,1.2268088911514332,0.053474439844421184
1000,70,1.243480606336729,0.6728692268940184,0.5706113794427106
1000,75,1.3025153907655822,0.14718252107543683,1.1553328696901455
1000,80,1.3514466443918016,0.35163222799006605,1.7030788723818677
1000,85,1.3912048247023288,0.8248886620293022,2.216093486731631
1000,90,1.4226484911846249,1.2738363480133712,2.6964848391979963
1000,95,1.4465694185416378,1.699663903139556,3.1462333216811937
1000,100,1.4636973631868249,2.1035019674060407,3.5671993305928655
1000,105,1.474704505826778,2.4864260312123867,3.9611305370391645
1000,110,1.4802095914694369,2.849459125056264,4.329668716525701
1000,115,1.4807817868194448,3.193574378052068,4.674356164871512
1000,120,1.4769442737333314,3.5196974516690696,4.996641725402401
1000,125,1.469177596200305,3.828708854774715,5.29788645097502
1000,130,1.4579227771843382,4.121446145771861,5.579368922956199
1000,135,1.443584220605084,4.398706027336497,5.842290247941582
1000,140,1.4265324127444405,4.661246338993825,6.0877787517382655
1000,145,1.4071064364381747,4.909787952515226,6.316894388953401
1000,150,1.385616310543667,5.145016574875573,6.530632885419241
1000,155,1.3623451663620534,5.36758446327924,6.729929629641293
1000,160,1.337551271932237,5.578112056543245,6.915663328475483
1000,165,1.3114699144021174,5.777189526916871,7.088659441318988
1000,170,1.2843151500158092,5.965378256218084,7.249693406233893
1000,175,1.2562814306319539,6.143212239977894,7.399493670609846
1000,180,1.2275451151043562,6.311199423103737,7.5387445382080935
1000,185,1.198265873310011,6.469822970401755,7.668088843711766
1000,190,1.1685879900984124,6.619542475134887,7.7881304652333005
1000,195,1.1386415759577897,6.7607951086389,7.89943668459669
1000,200,1.1085436907465027,6.893996713870883,8.002540404617385
1100,10,0.45514699110859314,10.021225592103912,10.476372583212505
1100,15,0.16758685971639542,8.980296894515764,9.14788375423216
1100,20,0.0898979837368169,7.991516910108261,7.901618926371444
1100,25,0.3197467980626645,7.0523388653893875,6.732592067326723
1100,30,0.5242209590554436,6.160340203092083,5.63611924403664
1100,35,0.7054162046687101,5.313216524055934,4.607800319387224
1100,40,0.8652740667090902,4.508775824566857,3.6435017578577673
1100,45,1.0055925418251592,3.7449330147450985,2.739340472919939
1100,50,1.1280360512010061,3.0197047042746434,1.8916686530736373
1100,55,1.2341447352088113,2.3312042424356805,1.097059507226869
1100,60,1.325343126318039,1.6776370000375518,0.35229387371951276
1100,65,1.4029482407893021,1.0572958814546507,0.3456523593346514
1100,70,1.4681771270857846,0.4685570555429189,0.9996200715428657
1100,75,1.5221539065045169,0.09012410523792092,1.6122780117424378
1100,80,1.5659163392525863,0.6202168876507221,2.1861332269033085
1100,85,1.600421947060268,1.1231189121149925,2.7235408591752606
1100,90,1.6265537214253916,1.6001596279366204,3.226713349362012
1100,95,1.6451254447116856,2.052603638073193,3.6977290827848783
1100,100,1.6568866495714805,2.48165386174856,4.13854051132004
1100,105,1.6625272405215497,2.8884545428247823,4.550981783346332
1100,110,1.6626817999638026,3.2740941114540316,4.9367759114178345
1100,115,1.6579335995030329,3.6396079061660105,5.297541505669043
1100,120,1.6488183360660462,3.9859807631975372,5.634799099263583
1100,125,1.6358276110643062,4.314149479539019,5.9499770906033245
